국가별,시점,국내총생산,고용률,국민부담률,경제활동참가율 (%),무역의존도_수출,무역의존도_수입,수출,수입,외환보유액,부채비율,실업률,평균근로자세금,디플레이터,GDP_성장률
프랑스,2017,38685,64.7,46.1,55.6,20.31,23.65,525890,612136,156401,122.944,9.4,47.6,105.8,2.3
프랑스,2018,41526,65.3,45.9,55.6,20.48,23.97,570735,667876,166628,121.225,9,47.6,106.8,1.8
프랑스,2019,40380,65.6,45.4,55.3,20.59,23.84,559150,647361,188865,123.358,8.4,47.2,108.2,1.5
프랑스,2020,38625,65.3,,54.5,18.38,21.98,478333,572028,224503,,8,46.6,110.9,-8.1
독일,2000,23636,,36.4,57.5,28.32,25.5,550236,495463,87497,62.609,7.9,52.9,89.6,2.9
독일,2001,23608,,35.1,57.5,29.4,25,571479,486073,82132,61.261,7.8,51.9,90.7,1.7
독일,2002,25078,,34.6,57.3,29.78,23.71,616014,490486,89143,64.099,8.5,52.5,92,-0.2
독일,2003,30244,,34.7,57.3,30.12,24.23,751792,604715,96835,66.92,9.8,53.2,93.2,-0.7
독일,2004,34044,,34.3,56.9,32.37,25.48,909456,715863,97170,68.859,10.7,52.2,94.2,1.2
독일,2005,34507,65.5,34.4,58.4,34.08,27.25,969983,775620,101676,71.428,11.2,52.1,94.6,0.7
독일,2006,36323,67.2,34.9,59,37.06,30.33,1108901,907453,111637,68.792,10.3,52.3,95,3.8
독일,2007,41587,69,35.4,59.2,38.65,30.86,1322195,1055854,136234,66.181,8.7,51.8,96.7,3
독일,2008,45427,70.1,35.8,59.2,38.85,31.79,1449275,1185764,138043,70.71,7.5,51.3,97.6,1
독일,2009,41486,70.3,36.7,59.4,32.98,27.25,1120615,925805,180848,77.579,7.7,50.8,99.4,-5.7
독일,2010,41532,71.3,35.5,59.4,37.05,31.04,1258391,1054196,216497,87.406,7,49,100,4.2
독일,2011,46645,72.7,36.1,60.1,39.37,33.52,1474040,1255007,238854,86.409,5.8,49.7,101.1,3.9
독일,2012,43858,73,36.8,60.1,39.74,32.76,1401668,1155552,248856,88.858,5.4,49.7,102.6,0.4
